id,first_name,last_name,date_of_birth,country,married,job,income_in_year,total_property_cost
32,Matthew,Gibbs,65,Spain,True,Technical sales engineer,91443$,1050907$
33,Miguel,Lee,64,Poland,False,"Designer, textile",89952$,2460080$
34,Connor,Ball,31,Spain,True,Clinical biochemist,92021$,2040588$
35,Marcus,White,24,Italy,True,Forensic psychologist,71270$,1557018$
36,Brett,Logan,37,Spain,True,Equality and diversity officer,104949$,1734354$
37,Omar,Elliott,73,Poland,True,"Pharmacist, community",96711$,1207228$
38,Christine,Matthews,64,Poland,True,Barrister's clerk,99873$,1302056$
39,Heather,Mejia,59,Germany,False,"Secretary, company",109243$,1464435$
40,Stephanie,Robinson,76,Spain,False,Administrator,65413$,1902082$
41,Michelle,Jones,51,Germany,False,Theatre stage manager,89819$,865557$
42,Jessica,White,67,Italy,False,Licensed conveyancer,117308$,1635328$
43,Robert,Pacheco,76,United Kingdom,True,Consulting civil engineer,101370$,956410$
44,Erica,Carney,76,Spain,True,Warehouse manager,82097$,890720$
45,Angela,Parker,57,France,True,"Geneticist, molecular",82502$,1065675$
46,Adam,Wilcox,42,Poland,True,Writer,106194$,892368$
47,Allen,Jones,33,United Kingdom,True,"Accountant, chartered public finance",97895$,2339082$
48,Joanne,Palmer,35,United Kingdom,True,Commercial art gallery manager,98916$,308890$
49,Travis,Jacobs,50,Germany,True,Interior and spatial designer,116829$,1545984$
50,Michael,Black,61,Poland,False,Commercial/residential surveyor,86105$,1293066$
51,Charles,Ramsey,32,France,True,Sports administrator,57407$,595550$
52,Amanda,Hall,32,Germany,False,"Psychotherapist, dance movement",72018$,1778595$
53,Nina,Olson,62,Poland,True,"Surveyor, rural practice",103169$,2178110$
54,Angela,Nunez,53,United Kingdom,True,Microbiologist,72587$,1639616$
55,Katherine,Mitchell,30,Germany,False,Public relations officer,89181$,324935$
56,Amy,Black,27,Poland,True,Ecologist,58341$,1468375$
57,Jose,Boyd,32,Italy,False,Meteorologist,78053$,2246540$
58,Linda,Salazar,78,United Kingdom,False,"Therapist, sports",100770$,1208724$
59,Steven,Lucero,22,Poland,False,"Designer, multimedia",87653$,1838832$
60,Randy,Andrews,46,Germany,False,Corporate investment banker,71380$,1197784$
61,Brandon,Mathews,72,Spain,False,Air broker,93281$,874683$
62,Charlene,Colon,78,Italy,False,"Engineer, aeronautical",99188$,673540$
63,Natalie,Thomas,59,Spain,False,Seismic interpreter,90398$,737370$
64,Kenneth,Davis,48,United Kingdom,True,Environmental manager,72003$,1462440$
65,Stephen,Martin,79,Spain,True,Land/geomatics surveyor,74102$,1345071$
66,Kyle,Gibbs,50,Germany,True,Forensic scientist,94320$,1396376$
67,Michelle,Watson,61,France,False,Dispensing optician,92576$,2075546$
68,Holly,Gonzalez,43,France,True,Publishing rights manager,86459$,1313424$
69,Kimberly,Baker,56,Germany,False,unemployed,58631$,1707480$
70,Christine,Myers,78,United Kingdom,True,"Engineer, biomedical",83991$,555198$
71,Scott,Gates,50,United Kingdom,False,Licensed conveyancer,61961$,431900$
72,Melissa,Strickland,40,United Kingdom,False,"Engineer, manufacturing",83908$,425235$
73,Melanie,Frye,36,Poland,False,unemployed,75799$,1071165$
74,Christopher,Hutchinson,64,Italy,False,unemployed,62387$,1507185$
75,Rhonda,Cook,75,United Kingdom,False,Retail merchandiser,105688$,585815$
76,Teresa,Bradford,80,Germany,False,Management consultant,109134$,888825$
77,Larry,Pierce,37,United Kingdom,False,Insurance broker,80178$,575520$
78,Sandy,Mercado,22,Italy,True,Product/process development scientist,72261$,2415105$
79,John,Blevins,75,Spain,False,Health promotion specialist,89142$,958155$
80,Christopher,Peterson,54,Spain,True,"Civil engineer, contracting",101759$,1759920$
81,Crystal,Martin,79,Germany,True,Acupuncturist,99070$,1274608$
82,Pamela,Brown,22,Spain,True,Recruitment consultant,91453$,1712592$
83,Mark,Harrison,61,Spain,True,"Scientist, forensic",88533$,1520948$
84,Jennifer,Cuevas,55,France,True,Health promotion specialist,92920$,558888$
85,Larry,Kelley,46,Poland,False,Secretary/administrator,119450$,377090$
86,Linda,Thompson,43,Italy,False,"Scientist, research (medical)",90702$,588115$
87,Jonathan,White,51,Germany,True,"Civil engineer, consulting",131456$,1223544$
88,Carrie,Dennis,36,Italy,True,Podiatrist,65216$,2150820$
89,Karl,Barnes,48,Italy,False,Manufacturing engineer,121975$,2263545$
90,Jennifer,Wilson,66,United Kingdom,True,Associate Professor,99325$,934633$
91,Debra,Nguyen,43,Germany,True,"Scientist, audiological",48522$,2181000$
92,James,Hood,61,France,True,Commercial/residential surveyor,37939$,2254120$
93,Joann,Jones,63,Italy,True,Tax inspector,98054$,3302202$
94,Alexander,King,65,Italy,False,"Investment banker, operational",84594$,2070145$
95,Tyler,Brown,54,Poland,True,Sales executive,98978$,654612$
96,James,Mejia,22,United Kingdom,True,Community education officer,50421$,599418$
97,Michael,Garcia,75,Italy,True,Lexicographer,46628$,360445$
98,Jacob,Thornton,76,Spain,True,"Education officer, community",86007$,1430604$
99,Steven,Crawford,20,United Kingdom,True,"Conservator, furniture",87361$,2318016$
100,Wayne,Gutierrez,28,Spain,True,"Doctor, general practice",115952$,825566$
101,Susan,Coleman,36,Germany,True,"Programmer, systems",76267$,473736$
102,Laura,Fox,76,Spain,True,Arts administrator,100339$,392250$
103,Christina,Harper,27,United Kingdom,True,Technical author,60983$,837628$
104,Trevor,Oneal,43,Poland,False,Planning and development surveyor,95528$,1943983$
105,Erika,Walker,38,United Kingdom,True,Data processing manager,105235$,767192$
106,Jonathan,Wolf,59,United Kingdom,True,Volunteer coordinator,92591$,2994225$
107,Kimberly,Ruiz,65,Germany,False,Warden/ranger,89024$,2010582$
108,David,Merritt,64,Spain,True,"Programmer, systems",86006$,2274750$
109,Tommy,Pearson,33,Poland,True,Archivist,101131$,2109660$
110,Theresa,Garza,63,Poland,False,Proofreader,82335$,1943664$
111,Laura,Hart,49,United Kingdom,True,Quality manager,53330$,3190375$
112,Jeffrey,Guerra,64,Germany,False,"Geologist, wellsite",91051$,2491800$
113,Dawn,Pittman,80,United Kingdom,True,Geochemist,47175$,1896092$
114,Keith,White,51,Italy,True,Health promotion specialist,91454$,1455945$
115,Anna,Mahoney,30,Germany,True,Speech and language therapist,93899$,1856505$
116,Richard,Santana,65,Germany,False,Environmental consultant,65342$,960936$
117,Eric,Mcgrath,33,France,False,"Scientist, audiological",78273$,1229722$
118,Elizabeth,Golden,44,United Kingdom,True,Scientific laboratory technician,89537$,1337973$
119,Angela,Smith,28,France,True,"Research officer, trade union",56915$,805140$
120,Danny,Wilson,30,United Kingdom,True,"Engineer, maintenance (IT)",84665$,1595119$
121,Laurie,Cline,29,France,True,Set designer,132043$,1603952$
122,Joshua,Jones,19,Poland,True,"Designer, industrial/product",83408$,2248664$
123,Mark,Barrera,26,France,False,"Surveyor, quantity",100830$,1051137$
124,Austin,Marshall,51,Germany,True,"Psychologist, occupational",88258$,1967385$
125,Gerald,Jackson,51,Spain,False,"Engineer, aeronautical",117752$,586593$
126,Vanessa,Lewis,20,Germany,False,Clinical cytogeneticist,111529$,1003212$
127,Julia,Potts,68,United Kingdom,False,"Scientist, product/process development",59269$,1832350$
128,Kathryn,Hart,52,United Kingdom,True,"Scientist, marine",73605$,1602165$
129,Mary,Walker,42,United Kingdom,False,Firefighter,97640$,1986624$
130,Bruce,Myers,31,United Kingdom,False,Further education lecturer,85636$,2082336$
131,Joshua,Ford,52,Poland,True,Jewellery designer,97130$,1456581$
132,Sandra,Pittman,24,France,True,Electrical engineer,112171$,3205150$
133,Adam,Campbell,52,United Kingdom,False,Building services engineer,109583$,462515$
134,Crystal,Mccormick,42,Spain,False,Wellsite geologist,104226$,712629$
135,Jacqueline,Sims,37,Spain,True,"Teacher, secondary school",69650$,1992736$
136,Megan,Parker,56,Poland,True,Purchasing manager,101185$,1057394$
137,Susan,Lopez,50,Spain,True,Market researcher,81722$,1031625$
138,Pedro,Green,55,United Kingdom,True,"Teacher, special educational needs",106010$,1018108$
139,Terri,Bennett,31,United Kingdom,False,"Production assistant, television",82091$,557624$
140,Robert,Knapp,71,France,True,Industrial buyer,96520$,866640$
141,Brandon,Lynch,37,United Kingdom,False,"Research officer, political party",81222$,507656$
142,Bradley,Hess,41,Spain,False,Clinical molecular geneticist,94417$,2151556$
143,Meagan,Adkins,48,France,True,Futures trader,83765$,632025$
144,Anthony,Ramirez,36,Spain,True,Aeronautical engineer,98859$,2800925$
145,Frank,Carroll,38,Spain,False,"Engineer, broadcasting (operations)",127629$,1884933$
146,Thomas,Smith,74,Italy,False,Computer games developer,93244$,2036430$
147,Benjamin,Pitts,23,Germany,False,Immigration officer,80010$,1179794$
148,Ashley,Smith,51,France,True,Catering manager,79720$,583074$
149,Suzanne,Williams,62,Germany,False,Trading standards officer,76065$,1444167$
150,Derek,Davis,67,Poland,False,Counsellor,83361$,939081$
151,Tyler,Knight,76,Germany,True,unemployed,124919$,2097094$
152,Matthew,Curry,39,France,True,Chartered loss adjuster,88000$,488355$
153,Dominic,Dawson,52,Germany,False,Dealer,111460$,1847820$
154,James,Taylor,67,Germany,False,"Clinical scientist, histocompatibility and immunogenetics",136815$,610582$
155,Ryan,Williams,63,United Kingdom,False,Chief Strategy Officer,73303$,678498$
156,Michael,Kane,57,United Kingdom,False,Office manager,50964$,761060$
157,Oscar,Campbell,56,Poland,True,Horticultural consultant,104393$,801328$
158,Paul,Conway,54,United Kingdom,True,Customer service manager,53953$,1090839$
159,Kayla,Oconnell,75,Germany,False,Environmental manager,137958$,1242240$
160,Barbara,Mayo,62,France,False,Charity fundraiser,101227$,1550840$
161,Melissa,Jones,56,Spain,False,"Teacher, music",90341$,709010$
162,Katherine,Adams,38,United Kingdom,False,"Restaurant manager, fast food",72015$,2476188$
163,Heidi,Harris,62,Italy,True,Theatre director,83679$,826189$
164,Adrienne,Frank,22,Spain,True,Television camera operator,95679$,459540$
165,Jerry,Holland,46,Poland,True,"Designer, ceramics/pottery",89087$,1903275$
166,Guy,Mclaughlin,40,United Kingdom,False,Physiological scientist,80993$,1137495$
167,Paul,Parker,51,Italy,False,"Therapist, sports",64059$,748503$
168,Ashley,Villegas,20,Italy,True,Textile designer,76773$,1482966$
169,Laura,Harris,37,United Kingdom,True,Tourist information centre manager,112941$,1362680$
170,Judy,Moreno,61,Germany,True,"Editor, magazine features",86418$,1395674$
171,Cody,Logan,39,Germany,True,Occupational psychologist,83545$,492775$
172,Julia,Johnson,40,Germany,True,Midwife,68579$,582984$
173,Nicole,Crawford,50,Poland,True,Futures trader,87548$,1070433$
174,Benjamin,Smith,68,Italy,False,"Production designer, theatre/television/film",59386$,1516194$
175,Deanna,Villegas,52,Spain,True,Sports development officer,110966$,657084$
176,Joseph,Robertson,75,Germany,True,Interpreter,117979$,861210$
177,Andrew,Perkins,76,Germany,False,Restaurant manager,60844$,1797757$
178,Melody,Hinton,50,Poland,False,Ranger/warden,118725$,492380$
179,Matthew,Mcdowell,25,France,True,Speech and language therapist,124812$,1434409$
180,Jennifer,Jennings,34,Germany,False,Pension scheme manager,93621$,795290$
181,Robert,Long,41,United Kingdom,False,Copy,105437$,1172358$
182,Sophia,Torres,35,United Kingdom,True,"Librarian, academic",91391$,1434255$
183,Patrick,Schroeder,22,United Kingdom,False,"Psychotherapist, dance movement",70150$,1607745$
184,Carol,Bautista,21,Germany,True,Cabin crew,109907$,1090188$
185,Regina,Chapman,22,Spain,True,Hospital doctor,91335$,965062$
186,Sandra,Garcia,62,Italy,False,"Editor, commissioning",32944$,270080$
187,Lisa,Ross,77,France,False,"Designer, exhibition/display",84944$,1390976$
188,Brittany,Fry,61,Poland,False,Education administrator,97638$,478836$
189,Richard,Allen,23,United Kingdom,False,Industrial/product designer,97788$,503615$
190,James,Brown,71,Italy,True,Market researcher,70118$,3009120$
191,Megan,Holland,60,Spain,True,Furniture conservator/restorer,94817$,930308$
192,Laurie,Stanton,46,United Kingdom,True,Air broker,76401$,694728$
193,Ruth,Burns,77,France,True,Office manager,78377$,1000580$
194,Tim,Conley,19,United Kingdom,True,Agricultural engineer,61049$,873195$
195,Lisa,Davis,43,Italy,True,"Surveyor, quantity",67482$,1088475$
196,Shane,Quinn,33,Poland,True,"Designer, furniture",109180$,2042057$
197,James,Wells,74,United Kingdom,False,Geoscientist,111209$,318820$
198,Jose,Murray,26,Poland,True,Art therapist,76423$,624180$
199,Patty,Jacobs,78,Italy,False,"Journalist, magazine",106186$,1438614$
200,Lynn,King,76,Spain,True,Data scientist,84892$,1736592$
201,Timothy,Thompson,72,United Kingdom,True,Equality and diversity officer,61887$,830304$
202,Erik,Velasquez,46,Poland,False,Youth worker,120065$,919440$
203,Robert,Chen,59,Spain,True,"Programme researcher, broadcasting/film/video",68731$,2023517$
204,Valerie,Powell,56,Spain,True,Risk analyst,96766$,2188700$
205,Billy,Thomas,76,Spain,True,"Teacher, early years/pre",80409$,2149152$
206,Brandon,Holt,66,Germany,True,Physiological scientist,81144$,552195$
207,Kelly,Guzman,60,France,False,Production manager,97227$,961068$
208,Melissa,Bradford,68,Poland,False,"Nurse, mental health",128784$,457905$
209,Cassandra,Klein,35,Italy,True,Insurance claims handler,48188$,1551433$
210,David,Allen,23,Italy,False,Video editor,73223$,1653712$
211,Joseph,Snyder,29,Italy,False,"Therapist, occupational",79289$,809235$
212,Danny,Washington,35,Spain,True,Teaching laboratory technician,126618$,1556688$
213,Randall,Mcintyre,62,Italy,True,Telecommunications researcher,67451$,1595898$
214,Jorge,Smith,41,France,True,Heritage manager,71365$,1194864$
215,Ian,Green,55,Germany,True,Counsellor,75695$,1399720$
216,Natalie,Wilson,65,France,True,"Pharmacist, community",84021$,1560875$
217,Elizabeth,Guerra,72,Germany,False,Land,84252$,1299103$
218,Gabriel,Little,66,France,False,Dance movement psychotherapist,40745$,1424420$
219,Terry,Jefferson,56,United Kingdom,False,Animal nutritionist,110762$,984276$
220,Lisa,Martin,43,Spain,True,Tourist information centre manager,75943$,1291660$
221,Patricia,Carter,29,Spain,False,"Psychologist, occupational",101092$,1319438$
222,Matthew,Martin,58,Spain,True,"Engineer, site",108491$,983304$
223,Kenneth,Lucas,71,United Kingdom,False,Chemical engineer,102234$,1589150$
224,Matthew,Estrada,77,Poland,False,Social researcher,96304$,786576$
225,Randy,Payne,38,United Kingdom,False,"Designer, industrial/product",45947$,1527296$
226,Randy,Jones,38,United Kingdom,False,Film/video editor,79644$,1307685$
227,Phillip,Smith,57,Poland,False,Chief Executive Officer,89127$,564564$
228,Amy,Reyes,41,Poland,False,"Engineer, drilling",103277$,927730$
229,Stacy,Gonzales,47,United Kingdom,False,"Education officer, environmental",82564$,637338$
230,David,Gonzalez,75,Italy,False,Art therapist,85029$,543221$
231,Jacob,Taylor,37,Spain,False,Secretary/administrator,88714$,909634$
232,Richard,Mccann,47,Germany,True,Field trials officer,124377$,1530207$
233,Amanda,Everett,72,United Kingdom,False,Careers adviser,92599$,652977$
234,Sheila,Adams,58,Germany,False,"Designer, exhibition/display",89664$,1787170$
235,Tracey,Johnson,77,Poland,True,Fitness centre manager,122790$,1514849$
236,Shawn,Hess,80,United Kingdom,False,Air traffic controller,150735$,1194312$
237,Michelle,Hart,56,Germany,True,Software engineer,111688$,1020852$
238,Joel,Stone,41,France,False,Restaurant manager,112116$,2872263$
239,Cindy,Sanders,73,Germany,True,Heritage manager,73091$,723528$
240,Andrew,Powell,33,France,True,"Embryologist, clinical",71903$,1875490$
241,Jorge,Cooper,51,Germany,False,Accommodation manager,82332$,1701342$
242,Donald,Lam,34,Germany,False,Chartered management accountant,105574$,2006660$
243,Tyler,Parker,42,Spain,True,Research scientist (medical),96369$,2720350$
244,Christopher,Fields,80,Spain,True,Chartered accountant,70854$,2062675$
245,Matthew,Malone,67,Spain,False,Tax adviser,67890$,1820640$
246,Ashley,Johnson,35,Italy,True,Teaching laboratory technician,107632$,1020768$
247,Melissa,Brooks,51,Germany,True,Records manager,66621$,2211325$
248,Tammy,Collier,57,United Kingdom,True,Chiropodist,91510$,930501$
249,Heather,Rose,48,Spain,False,Computer games developer,79338$,966456$
253,Michael,Bennett,47,Poland,False,Sports development officer,103305$,730935$
254,Robert,Luna,24,United Kingdom,False,Quality manager,67343$,1730396$
255,Steven,Rojas,30,Germany,False,Youth worker,98813$,1142752$
256,Bryan,Stafford,73,Spain,False,Sports coach,61074$,2183689$
257,Barbara,Reed,65,Spain,True,Mudlogger,98897$,1428768$
258,Anthony,Tate,72,Germany,True,"Teacher, English as a foreign language",82559$,1733788$
259,Diane,Shannon,61,France,True,"Research officer, government",95517$,442446$
260,Justin,Powers,31,Germany,True,Community development worker,95089$,1534592$
261,Ashley,Parker,75,France,True,Forensic psychologist,62812$,1862322$
262,Sandy,Kramer,71,Spain,False,Horticultural therapist,89484$,1317610$
263,Savannah,King,39,France,False,"Therapist, music",50953$,1919649$
264,Kimberly,Hooper,46,Italy,True,Archivist,114195$,922840$
265,Cathy,Erickson,66,Spain,False,Metallurgist,86055$,1164878$
266,Brenda,Herrera,42,United Kingdom,False,"Administrator, Civil Service",93534$,1465500$
267,Ashley,Smith,60,Poland,True,Architect,93294$,1855500$
268,Kelly,Salazar,54,United Kingdom,False,Aid worker,77886$,891880$
269,Natasha,Erickson,31,United Kingdom,True,"Psychologist, forensic",76067$,1363474$
270,Brandon,Lyons,31,Poland,False,Podiatrist,55017$,2181850$
271,Joseph,Stephenson,75,Italy,False,Audiological scientist,102522$,823500$
272,William,Ali,59,France,False,Marketing executive,98372$,2225356$
273,Lisa,Short,29,Spain,True,Newspaper journalist,120732$,1077370$
274,Bethany,Juarez,79,Germany,True,Operations geologist,94205$,1617450$
275,Caroline,Brown,29,Poland,True,Radiation protection practitioner,105046$,565579$
276,Daniel,Sexton,42,Poland,False,Tourist information centre manager,102568$,220969$
277,Andrea,Frey,79,Italy,True,"Surveyor, building",94706$,1167678$
278,Leonard,Freeman,35,Germany,False,Dramatherapist,132163$,1295712$
279,Mary,Hernandez,77,France,False,Adult guidance worker,59940$,2003298$
280,Karen,Sheppard,71,Spain,False,Writer,97345$,420445$
281,Aaron,Diaz,74,Spain,True,"Engineer, agricultural",86120$,1390028$
282,Andrea,Braun,32,Spain,True,Theatre director,89773$,1585968$
283,Chad,Carter,20,Italy,True,Ship broker,119495$,1317058$
284,Carolyn,Campbell,38,Italy,True,Publishing rights manager,105931$,767043$
285,Deborah,Ramsey,47,Spain,True,Adult nurse,106617$,2031858$
286,Katherine,Hunt,79,United Kingdom,False,Structural engineer,92164$,2210620$
287,Cynthia,Garrison,66,Germany,False,"Exhibitions officer, museum/gallery",52336$,1027272$
288,Alejandra,Harper,56,United Kingdom,True,unemployed,106476$,1048660$
289,Jessica,Freeman,29,Poland,True,Copy,106358$,1622775$
290,Kenneth,Lewis,37,United Kingdom,True,"Sales professional, IT",111605$,2310180$
291,Elizabeth,Taylor,51,Germany,False,Photographer,92739$,2250885$
292,Nicholas,George,52,Germany,True,Ship broker,65575$,1917050$
293,Lisa,Cole,26,United Kingdom,True,Medical illustrator,121138$,1881361$
294,Stephanie,Griffith,37,Germany,True,Barrister,93623$,585820$
295,Alan,Simon,28,Italy,True,Chief Operating Officer,79228$,1790130$
296,Katie,Wiley,22,Germany,True,Warden/ranger,91898$,1028945$
297,Paul,Palmer,52,Germany,False,Health service manager,79407$,2058700$
298,Alexis,Brown,21,United Kingdom,True,Arboriculturist,110039$,503430$
299,Rachael,Stark,34,Germany,True,Physiotherapist,75684$,708273$
300,Holly,Gutierrez,49,Poland,False,Product designer,79773$,1780728$
301,Damon,Cobb,38,Germany,True,Structural engineer,79915$,1457742$
302,Charles,Ramirez,30,Germany,False,Merchant navy officer,96619$,1039088$
303,Joseph,Hutchinson,65,United Kingdom,False,"Designer, exhibition/display",77903$,1072620$
304,John,Mann,34,Poland,True,Tax adviser,67035$,1140496$
305,Jonathan,Mendez,34,Spain,True,Dealer,84869$,270910$
306,Michelle,Houston,50,France,True,unemployed,51824$,416585$
307,Michael,Hill,60,Poland,True,Web designer,97414$,1085520$
308,Timothy,Murphy,33,Spain,True,"Engineer, maintenance",101409$,1982480$
309,Marcus,Odonnell,25,Spain,True,Media planner,99657$,1167948$
310,Juan,Martinez,20,Poland,True,Retail merchandiser,62217$,2927544$
311,Ruben,Miller,78,Spain,False,Electronics engineer,73775$,546543$
312,Douglas,Williams,52,France,False,"Psychotherapist, child",50410$,1129634$
313,Teresa,Arellano,20,France,True,Cabin crew,126792$,1769926$
314,Michael,Evans,27,United Kingdom,True,"Surveyor, commercial/residential",127786$,2199906$
315,Karen,Graham,79,Spain,False,Tour manager,81716$,677346$
316,Mark,Watkins,37,Germany,False,Academic librarian,98177$,1832355$
317,Bruce,Flores,55,Poland,True,Herbalist,129416$,865480$
318,Gregory,Allen,57,Italy,True,Museum/gallery conservator,112515$,1341743$
319,Julie,Bowen,24,Germany,True,"Scientist, physiological",42366$,1640322$
320,Laurie,Carson,34,France,True,"Accountant, chartered certified",91076$,2617745$
321,Nicole,Parker,23,Italy,True,Hospital doctor,108153$,1625895$
322,Justin,Friedman,74,Poland,True,"Lecturer, higher education",119170$,2255851$
323,Richard,Wright,66,United Kingdom,True,unemployed,99102$,1913328$
324,Michelle,Young,31,Italy,True,Electrical engineer,105553$,1214619$
325,Deborah,Mason,66,Spain,True,Biomedical engineer,81465$,859401$
326,Timothy,Guerrero,37,Italy,True,Chartered public finance accountant,121839$,1028692$
327,Mark,Proctor,43,France,False,Ranger/warden,157878$,1172448$
328,Julie,Powell,66,United Kingdom,True,"Production designer, theatre/television/film",55588$,1409070$
329,Ashley,Anderson,62,United Kingdom,False,Media planner,134078$,535440$
330,Abigail,Melton,29,France,True,Musician,75637$,539392$
331,Samantha,Jordan,27,Germany,True,Retail banker,68253$,1486005$
332,Hannah,Matthews,52,Italy,True,Social worker,113764$,789992$
333,Tami,Robinson,34,Spain,False,Printmaker,95988$,2154150$
334,Robert,Arnold,48,Italy,True,Research scientist (maths),79519$,344656$
335,Christopher,Smith,25,United Kingdom,False,Logistics and distribution manager,109985$,2532816$
336,David,Baker,19,Germany,False,Chief Strategy Officer,101634$,1554315$
337,Marvin,Lang,37,Poland,True,Automotive engineer,57799$,1034660$
338,Kelly,Mueller,75,France,False,Industrial/product designer,121313$,874280$
339,Matthew,Russell,75,United Kingdom,True,"Research officer, political party",58844$,1639130$
340,Danielle,Wolfe,19,Spain,False,"Scientist, water quality",117665$,2216750$
341,Jack,Stafford,70,Poland,True,Sport and exercise psychologist,93167$,1410762$
342,Robert,Rowe,28,Italy,False,Risk analyst,115999$,511260$
343,Kendra,Young,54,Germany,True,"Administrator, arts",90390$,1328635$
344,Jo,Fields,54,France,False,Hydrogeologist,89233$,2197650$
345,Scott,Jones,43,Poland,False,Chief Strategy Officer,115902$,973440$
346,Molly,Williams,72,France,True,"Biochemist, clinical",102283$,877576$
347,David,Moore,70,United Kingdom,False,Commercial art gallery manager,103991$,1686800$
348,Jonathan,Davis,52,United Kingdom,True,Environmental consultant,108601$,824630$
349,Sheri,Burgess,50,Poland,False,Arboriculturist,91171$,1154928$
350,Mathew,Vincent,31,Spain,True,Dentist,104772$,1020950$
351,Pamela,Johnson,32,Germany,True,Optometrist,121011$,1037592$
352,Carol,Wolf,67,Poland,False,Waste management officer,100506$,2535830$
353,Felicia,Christensen,52,France,False,Site engineer,56364$,1366100$
354,Amber,Bates,60,United Kingdom,True,"Scientist, research (maths)",68777$,1337778$
355,Amy,Hall,63,Poland,False,Data scientist,65506$,865898$
356,Christine,Avila,55,Germany,True,Accommodation manager,45146$,1932924$
357,Samantha,Adams,49,United Kingdom,False,"Research officer, trade union",104088$,1676202$
358,Angela,Smith,74,United Kingdom,True,Film/video editor,52205$,1413828$
359,Candice,Riddle,60,Spain,False,IT consultant,76605$,462655$
360,Erin,Turner,24,Poland,False,unemployed,54576$,2934312$
361,Melinda,Thomas,29,France,True,Museum education officer,63877$,1325828$
362,Melinda,Sanchez,46,Germany,True,Building services engineer,83920$,1980280$
363,Bonnie,Burnett,55,Poland,False,Clinical biochemist,121356$,1667880$
364,Christine,Moore,63,Poland,True,Electrical engineer,102953$,739048$
365,Michael,Mccullough,63,Poland,False,Financial controller,103456$,1584681$
366,Tyler,Osborne,29,Germany,True,Cytogeneticist,130153$,712250$
367,Jessica,Johnson,41,Spain,True,Product designer,83600$,2013558$
368,Tiffany,Harris,58,Spain,True,Financial trader,118985$,1492368$
369,Richard,Reed,49,United Kingdom,True,Administrator,77152$,742840$
370,William,Carpenter,25,Italy,True,Hotel manager,73585$,1674883$
371,Robert,Morgan,26,Italy,False,Dramatherapist,52421$,872560$
372,Mariah,Lin,56,Poland,True,Clinical cytogeneticist,90209$,1361416$
373,Jeffery,Hicks,79,Germany,True,Energy engineer,62665$,2533167$
374,Todd,Johnson,42,United Kingdom,True,"Programmer, applications",61432$,1189552$
375,James,Gross,75,United Kingdom,True,Purchasing manager,97185$,568980$
376,Gary,Logan,62,United Kingdom,True,Lawyer,78785$,2230284$
377,Becky,Wong,57,Germany,False,Financial planner,84526$,818620$
378,Taylor,Combs,38,United Kingdom,True,"Education officer, environmental",95721$,1016868$
379,Melinda,Finley,39,Spain,True,"Therapist, sports",92772$,1642835$
380,Brandon,Frank,63,Italy,False,Visual merchandiser,72858$,2267100$
381,Tami,Newton,26,Italy,True,Statistician,87139$,446940$
382,Michelle,Thomas,42,Italy,False,Chief Operating Officer,101221$,679032$
383,Victor,Lucas,52,Germany,False,Systems developer,64338$,1313634$
384,Timothy,Garcia,41,Poland,True,Accommodation manager,58795$,684378$
385,Brandon,Stone,73,Italy,True,"Buyer, industrial",125403$,1372631$
386,Mary,French,79,Italy,True,"Scientist, research (physical sciences)",132198$,1085580$
